,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
174,Mesa,Abyusif,7418,https://open.spotify.com/track/6jdmXmqrbCqLqwin2W0hmj
175,"اي تي ام",Wegz,7403,https://open.spotify.com/track/5f9LkVShiWDnG5nVvZXNuu
176,"THE SCOTTS","THE SCOTTS",7289,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
177,Goosebumps,HVME,7269,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
178,"Raghm El Masafa","Massar Egbari",7238,https://open.spotify.com/track/2pL1V75Sv9ZUTJuWrRcu0v
179,"Dusk Till Dawn (feat. Sia) - Radio Edit",ZAYN,7224,https://open.spotify.com/track/3e7sxremeOE3wTySiOhGiP
180,"Slumber Party (feat. Princess Nokia)",Ashnikko,7208,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
181,"Jaw Ard",Molotof,7193,https://open.spotify.com/track/4biJXjRjZM6drooWjaZeSa
182,ساليني,Wegz,7185,https://open.spotify.com/track/2GNTDHhyRGkIWfGdjlmb06
183,"Deep End",Fousheé,7159,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
184,"death bed (coffee for your head)",Powfu,7156,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
185,"Another Love","Tom Odell",7155,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
186,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",7149,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
187,"Astronaut in the Ocean","Tasneem Elaidy",7095,https://open.spotify.com/track/27ErCu5vx463lPyabA87oi
188,"علي بابا",Wegz,7089,https://open.spotify.com/track/6k16npUb3Rg5ghdAHRPtrK
189,"everything i wanted","Billie Eilish",7087,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
190,Invincible,"Pop Smoke",7070,https://open.spotify.com/track/792HwhrdO3ErRKL5yRe4Ge
191,"Follow You","Imagine Dragons",7046,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
192,Believer,"Imagine Dragons",7027,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
193,"Godzilla (feat. Juice WRLD)",Eminem,6975,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
194,"Khalsana M3ako B Sheyaka","Samer Elmedany",6956,https://open.spotify.com/track/190c5N0OZmaTmppjsCgPDw
195,Salka,"Hassan Shakosh",6938,https://open.spotify.com/track/31YxrDJGTuKmso1z7mPWJ8
196,"Legends Never Die","League of Legends",6799,https://open.spotify.com/track/1FpVJ7HpZInE2GvhVE2TwT
197,"Hold On","Justin Bieber",6793,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
198,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",6791,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
199,Elvaranda,Shahyn,6724,https://open.spotify.com/track/5WellK8qTZHROwvouT35uA
200,"Sout Baga3",Shahyn,6699,https://open.spotify.com/track/2MDrmk5MyMv0mkOYGMrpNy
