,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
170,"everything i wanted","Billie Eilish",8074,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
171,"Train Wreck","James Arthur",7990,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
172,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",7910,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
173,"Godzilla (feat. Juice WRLD)",Eminem,7902,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
174,"Lose You To Love Me","Selena Gomez",7852,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
175,"GREECE (feat. Drake)","DJ Khaled",7828,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
176,"Toosie Slide",Drake,7822,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
177,"How You Like That",BLACKPINK,7803,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
178,"ily (i love you baby) (feat. Emilee)","Surf Mesa",7791,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
179,Photograph,"Ed Sheeran",7775,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
180,"In Your Eyes","The Weeknd",7706,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
181,Payphone,"Maroon 5",7670,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
182,"Lasting Lover",Sigala,7661,https://open.spotify.com/track/0DmAvNCAK08oCi7miSZUIY
183,"Boy With Luv (feat. Halsey)",BTS,7660,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
184,"hot girl bummer",blackbear,7651,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
185,Loading,"Central Cee",7646,https://open.spotify.com/track/4vzJrkfHbCGaodPA5RY5BV
186,"Spicy (feat. Post Malone)","Ty Dolla $ign",7629,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
187,505,"Arctic Monkeys",7614,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
188,"Let Her Go",Passenger,7603,https://open.spotify.com/track/2jyjhRf6DVbMPU5zxagN2h
189,Yellow,Coldplay,7539,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
190,"Love Yourself","Justin Bieber",7537,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0
191,"Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay",7535,https://open.spotify.com/track/1dg3qy5DjoJodawfOCgrTP
192,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",7468,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
193,"Dusk Till Dawn (feat. Sia) - Radio Edit",ZAYN,7462,https://open.spotify.com/track/3e7sxremeOE3wTySiOhGiP
194,"Blank Space","Taylor Swift",7461,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
195,"Lose Somebody",Kygo,7461,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
196,Friends,"Chase Atlantic",7447,https://open.spotify.com/track/2jQiSYrwJehQAcuaaQrXnS
197,"Too Good At Goodbyes","Sam Smith",7377,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
198,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",7321,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
199,"A Thousand Years","Christina Perri",7287,https://open.spotify.com/track/6lanRgr6wXibZr8KgzXxBl
200,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",7287,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
